Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
GOLD - COMMODITY EXCHANGE INC.,251104,11/4/2025,088691,CMX ,01,088 ,450399,9805,69256,47195,224286,31355,130688,30143,26897,125884,24122,24914,396738,430973,53661,19426,450399,9805,69256,47195,224286,31355,130688,30143,26897,125884,24122,24914,396738,430973,53661,19426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6723,-2598,-1341,-1115,-2857,2415,-7917,-4303,-1363,-1819,-3076,4755,-7642,-5770,919,-953,100,2.2,15.4,10.5,49.8,7,29,6.7,6,27.9,5.4,5.5,88.1,95.7,11.9,4.3,100,2.2,15.4,10.5,49.8,7,29,6.7,6,27.9,5.4,5.5,88.1,95.7,11.9,4.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,14,16,21,25,29,83,22,37,101,33,38,267,155,312,14,16,21,25,29,83,22,37,101,33,38,267,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,32.1,26.8,48.5,15.3,30.5,24.8,44.9,15.5,32.1,26.8,48.5,15.3,30.5,24.8,44.9,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,251028,10/28/2025,088691,CMX ,01,088 ,457122,12403,70597,48310,227143,28940,138605,34446,28260,127703,27198,20159,404380,436743,52742,20379,457122,12403,70597,48310,227143,28940,138605,34446,28260,127703,27198,20159,404380,436743,52742,20379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15299,-1521,-1105,-8522,17972,-8151,3102,-8830,-3147,9355,-6768,-3236,-12120,-13265,-3179,-2034,100,2.7,15.4,10.6,49.7,6.3,30.3,7.5,6.2,27.9,5.9,4.4,88.5,95.5,11.5,4.5,100,2.7,15.4,10.6,49.7,6.3,30.3,7.5,6.2,27.9,5.9,4.4,88.5,95.5,11.5,4.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,14,17,20,25,27,91,23,37,102,36,33,274,154,325,14,17,20,25,27,91,23,37,102,36,33,274,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,31.7,26.6,48.3,15.2,30.1,24.7,44.8,15.3,31.7,26.6,48.3,15.2,30.1,24.7,44.8,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,251021,10/21/2025,088691,CMX ,01,088 ,472421,13924,71702,56832,209171,37091,135503,43276,31407,118348,33966,23395,416500,450008,55921,22413,472421,13924,71702,56832,209171,37091,135503,43276,31407,118348,33966,23395,416500,450008,55921,22413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13367,-170,-3849,5514,-17557,10476,-16684,-601,-208,-7870,3354,-1087,-10029,-9472,-3338,-3895,100,2.9,15.2,12,44.3,7.9,28.7,9.2,6.6,25.1,7.2,5,88.2,95.3,11.8,4.7,100,2.9,15.2,12,44.3,7.9,28.7,9.2,6.6,25.1,7.2,5,88.2,95.3,11.8,4.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,14,17,22,23,27,81,30,41,104,46,34,268,174,334,14,17,22,23,27,81,30,41,104,46,34,268,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,31,27.9,46,15.6,29.4,25.4,42,16.3,31,27.9,46,15.6,29.4,25.4,42,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,251014,10/14/2025,088691,CMX ,01,088 ,485788,14094,75551,51318,226728,26615,152187,43877,31615,126218,30612,24482,426529,459480,59259,26308,485788,14094,75551,51318,226728,26615,152187,43877,31615,126218,30612,24482,426529,459480,59259,26308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,1925,-1970,5760,-17250,6743,-18400,3049,789,-3993,2598,4720,-2456,-1321,2685,1550,100,2.9,15.6,10.6,46.7,5.5,31.3,9,6.5,26,6.3,5,87.8,94.6,12.2,5.4,100,2.9,15.6,10.6,46.7,5.5,31.3,9,6.5,26,6.3,5,87.8,94.6,12.2,5.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,13,17,18,25,29,95,26,40,108,37,34,278,167,335,13,17,18,25,29,95,26,40,108,37,34,278,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,30.5,27,46.1,15.1,29.1,24.9,43.9,15.8,30.5,27,46.1,15.1,29.1,24.9,43.9,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,251007,10/7/2025,088691,CMX ,01,088 ,485559,12169,77521,45558,243978,19872,170587,40828,30826,130211,28014,19762,428985,460801,56574,24758,485559,12169,77521,45558,243978,19872,170587,40828,30826,130211,28014,19762,428985,460801,56574,24758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8189,1737,1692,4520,-19899,2470,-13612,1856,-268,-4394,1090,2308,-7239,-10751,-950,2562,100,2.5,16,9.4,50.2,4.1,35.1,8.4,6.3,26.8,5.8,4.1,88.3,94.9,11.7,5.1,100,2.5,16,9.4,50.2,4.1,35.1,8.4,6.3,26.8,5.8,4.1,88.3,94.9,11.7,5.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,13,15,18,28,27,103,25,38,108,44,31,286,168,353,13,15,18,28,27,103,25,38,108,44,31,286,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,32.1,26.9,47.9,14.7,31,25,46.4,15.3,32.1,26.9,47.9,14.7,31,25,46.4,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250930,9/30/2025,088691,CMX ,01,088 ,493748,10432,75829,41038,263877,17402,184199,38972,31094,134605,26924,17454,436224,471552,57524,22196,493748,10432,75829,41038,263877,17402,184199,38972,31094,134605,26924,17454,436224,471552,57524,22196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35041,-1419,-3174,-8580,-16992,-4100,-14627,695,-1422,623,-858,-5357,-34882,-31208,-159,-3833,100,2.1,15.4,8.3,53.4,3.5,37.3,7.9,6.3,27.3,5.5,3.5,88.3,95.5,11.7,4.5,100,2.1,15.4,8.3,53.4,3.5,37.3,7.9,6.3,27.3,5.5,3.5,88.3,95.5,11.7,4.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,14,18,17,28,26,108,23,39,104,43,35,288,171,351,14,18,17,28,26,108,23,39,104,43,35,288,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32.8,26.7,50.1,14.8,31.6,25.3,48.7,15,32.8,26.7,50.1,14.8,31.6,25.3,48.7,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250923,9/23/2025,088691,CMX ,01,088 ,528789,11851,79003,49618,280869,21502,198826,38277,32516,133982,27782,22811,471106,502760,57683,26029,528789,11851,79003,49618,280869,21502,198826,38277,32516,133982,27782,22811,471106,502760,57683,26029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12568,859,2627,3153,-2583,1092,3479,1901,1369,2551,3790,3254,15757,11450,-3189,1118,100,2.2,14.9,9.4,53.1,4.1,37.6,7.2,6.1,25.3,5.3,4.3,89.1,95.1,10.9,4.9,100,2.2,14.9,9.4,53.1,4.1,37.6,7.2,6.1,25.3,5.3,4.3,89.1,95.1,10.9,4.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,15,21,18,28,29,112,23,46,101,47,41,300,186,359,15,21,18,28,29,112,23,46,101,47,41,300,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30.1,26.8,48.6,15.2,29.2,25.1,47.4,16,30.1,26.8,48.6,15.2,29.2,25.1,47.4,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250916,9/16/2025,088691,CMX ,01,088 ,516221,10992,76376,46465,283452,20410,195347,36376,31147,131431,23992,19557,455349,491310,60872,24911,516221,10992,76376,46465,283452,20410,195347,36376,31147,131431,23992,19557,455349,491310,60872,24911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6596,1128,3958,-1822,24344,4711,-3560,988,1617,5463,-3755,-2823,4714,29040,1882,-22444,100,2.1,14.8,9,54.9,4,37.8,7,6,25.5,4.6,3.8,88.2,95.2,11.8,4.8,100,2.1,14.8,9,54.9,4,37.8,7,6,25.5,4.6,3.8,88.2,95.2,11.8,4.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,15,21,16,28,29,106,21,48,105,42,41,297,180,350,15,21,16,28,29,106,21,48,105,42,41,297,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,30.6,26.6,49.9,15.6,29.6,25,48.6,16.2,30.6,26.6,49.9,15.6,29.6,25,48.6,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250909,9/9/2025,088691,CMX ,01,088 ,509625,9864,72418,48287,259108,15699,198907,35388,29530,125968,27747,22380,450635,462270,58990,47355,509625,9864,72418,48287,259108,15699,198907,35388,29530,125968,27747,22380,450635,462270,58990,47355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16717,1655,8907,719,-7056,-2443,2780,763,-206,6299,-3894,5558,14362,1629,2355,15088,100,1.9,14.2,9.5,50.8,3.1,39,6.9,5.8,24.7,5.4,4.4,88.4,90.7,11.6,9.3,100,1.9,14.2,9.5,50.8,3.1,39,6.9,5.8,24.7,5.4,4.4,88.4,90.7,11.6,9.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,13,20,18,27,29,106,21,43,105,43,38,292,175,348,13,20,18,27,29,106,21,43,105,43,38,292,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,29.1,27.2,46.8,16.2,28.3,25.8,45.5,16.6,29.1,27.2,46.8,16.2,28.3,25.8,45.5,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250902,9/2/2025,088691,CMX ,01,088 ,492908,8209,63511,47568,266164,18142,196127,34625,29736,119669,31641,16822,436273,460641,56635,32267,492908,8209,63511,47568,266164,18142,196127,34625,29736,119669,31641,16822,436273,460641,56635,32267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49148,-1411,11563,1946,11905,476,20633,1048,982,19396,3762,7203,49225,36939,-77,12209,100,1.7,12.9,9.7,54,3.7,39.8,7,6,24.3,6.4,3.4,88.5,93.5,11.5,6.5,100,1.7,12.9,9.7,54,3.7,39.8,7,6,24.3,6.4,3.4,88.5,93.5,11.5,6.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,13,20,20,29,33,117,24,42,95,49,39,293,189,360,13,20,20,29,33,117,24,42,95,49,39,293,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,28.4,27.7,47.1,17,27.7,26.2,46.1,17.1,28.4,27.7,47.1,17,27.7,26.2,46.1,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
