"Date","Price","Open","High","Low","Vol.","Change %"
"10/12/2025","17.0356","17.0472","17.0615","17.0333","","-0.12%"
"09/12/2025","17.0558","17.0419","17.1272","17.0054","","0.09%"
"08/12/2025","17.0397","16.9364","17.0621","16.9105","","0.66%"
"05/12/2025","16.9288","16.9938","17.0031","16.9002","","-0.41%"
"04/12/2025","16.9977","17.0379","17.0759","16.9387","","-0.23%"
"03/12/2025","17.0371","17.1076","17.1448","17.0238","","-0.41%"
"02/12/2025","17.1071","17.0911","17.1596","17.0692","","0.08%"
"01/12/2025","17.0929","17.1147","17.1658","17.0607","","-0.13%"
"28/11/2025","17.1146","17.1438","17.1987","17.0825","","-0.24%"
"27/11/2025","17.1562","17.1361","17.1885","17.1063","","0.15%"
"26/11/2025","17.1298","17.2184","17.2472","17.0903","","-0.48%"
"25/11/2025","17.2119","17.3150","17.3284","17.1887","","-0.50%"
"24/11/2025","17.2990","17.3750","17.4190","17.2653","","-0.44%"
"21/11/2025","17.3763","17.2342","17.4791","17.2113","","0.83%"
"20/11/2025","17.2341","17.2100","17.2675","17.1324","","0.23%"
"19/11/2025","17.1950","17.1827","17.2706","17.1280","","0.08%"
"18/11/2025","17.1818","17.1863","17.2638","17.1523","","0.06%"
"17/11/2025","17.1709","17.0932","17.2193","17.0422","","0.52%"
"14/11/2025","17.0819","17.0440","17.2088","16.9986","","0.22%"
"13/11/2025","17.0440","17.0881","17.1174","16.9465","","-0.26%"
"12/11/2025","17.0885","17.1612","17.1788","17.0362","","-0.42%"
"11/11/2025","17.1605","17.1725","17.1903","17.1228","","0.01%"
"10/11/2025","17.1581","17.3059","17.3297","17.1309","","-0.82%"
"07/11/2025","17.2993","17.3863","17.4087","17.2826","","-0.42%"
"06/11/2025","17.3725","17.4091","17.4459","17.3092","","-0.21%"
"05/11/2025","17.4092","17.5038","17.5814","17.3889","","-0.70%"
"04/11/2025","17.5320","17.3025","17.5529","17.3008","","1.27%"
"03/11/2025","17.3129","17.3093","17.3569","17.2758","","-0.09%"
"31/10/2025","17.3293","17.2850","17.3941","17.2488","","0.25%"
"30/10/2025","17.2854","17.2150","17.3641","17.1533","","0.46%"
"29/10/2025","17.2062","17.1553","17.2508","17.0820","","0.30%"
"28/10/2025","17.1551","17.2251","17.2960","17.1367","","-0.41%"
"27/10/2025","17.2253","17.2065","17.2654","17.1741","","-0.23%"
"24/10/2025","17.2645","17.3256","17.3779","17.2122","","-0.40%"
"23/10/2025","17.3337","17.4048","17.4610","17.2863","","-0.40%"
"22/10/2025","17.4036","17.4023","17.4924","17.3395","","0.02%"
"21/10/2025","17.4005","17.2246","17.4677","17.1876","","1.00%"
"20/10/2025","17.2288","17.3821","17.3942","17.2170","","-0.80%"
"17/10/2025","17.3681","17.3406","17.4936","17.3062","","0.16%"
"16/10/2025","17.3407","17.3466","17.3732","17.2585","","-0.08%"
"15/10/2025","17.3553","17.3868","17.4095","17.2658","","-0.24%"
"14/10/2025","17.3978","17.3206","17.5067","17.2820","","0.45%"
"13/10/2025","17.3206","17.5006","17.5006","17.2736","","-1.03%"
"10/10/2025","17.5006","17.2229","17.5140","17.1729","","1.65%"
"09/10/2025","17.2172","17.1661","17.2528","17.0617","","0.33%"
"08/10/2025","17.1599","17.2232","17.2775","17.1225","","-0.36%"
"07/10/2025","17.2212","17.1724","17.2501","17.1472","","0.28%"
"06/10/2025","17.1736","17.2525","17.3160","17.1526","","-0.33%"
"03/10/2025","17.2312","17.2972","17.3291","17.2019","","-0.37%"
"02/10/2025","17.2950","17.2345","17.3487","17.1645","","0.36%"
"01/10/2025","17.2337","17.2678","17.2936","17.1244","","-0.19%"
"30/09/2025","17.2668","17.2723","17.3168","17.2161","","-0.03%"
"29/09/2025","17.2722","17.3711","17.3860","17.2501","","-0.38%"
"26/09/2025","17.3384","17.4285","17.4910","17.3249","","-0.52%"
"25/09/2025","17.4286","17.3075","17.4894","17.2872","","0.49%"
"24/09/2025","17.3433","17.2575","17.3669","17.2106","","0.54%"
"23/09/2025","17.2498","17.3312","17.3896","17.2263","","-0.47%"
"22/09/2025","17.3319","17.3484","17.3774","17.2620","","-0.10%"
"19/09/2025","17.3484","17.3497","17.4253","17.3082","","-0.01%"
"18/09/2025","17.3500","17.3800","17.4913","17.3200","","-0.27%"
"17/09/2025","17.3969","17.3415","17.4340","17.2577","","0.32%"
"16/09/2025","17.3417","17.3561","17.4023","17.3152","","-0.09%"
"15/09/2025","17.3572","17.3781","17.4020","17.3102","","-0.19%"
"12/09/2025","17.3903","17.3825","17.4256","17.3425","","0.15%"
"11/09/2025","17.3647","17.4877","17.5677","17.3501","","-0.69%"
"10/09/2025","17.4858","17.5365","17.6030","17.4513","","-0.32%"
"09/09/2025","17.5418","17.4953","17.5628","17.4476","","0.23%"
"08/09/2025","17.5016","17.5698","17.6337","17.4697","","-0.54%"
"05/09/2025","17.5973","17.7843","17.7995","17.5166","","-1.00%"
"04/09/2025","17.7758","17.6630","17.8246","17.6499","","0.61%"
"03/09/2025","17.6682","17.6931","17.7776","17.6027","","-0.14%"
"02/09/2025","17.6925","17.6193","17.7892","17.5853","","0.42%"
"01/09/2025","17.6187","17.6758","17.6818","17.5410","","-0.21%"
"29/08/2025","17.6557","17.7163","17.7869","17.6224","","-0.24%"
"28/08/2025","17.6977","17.6915","17.7275","17.6184","","0.07%"
"27/08/2025","17.6851","17.6245","17.7885","17.6066","","0.34%"
"26/08/2025","17.6246","17.6079","17.6997","17.5710","","0.10%"
"25/08/2025","17.6064","17.4488","17.6398","17.4169","","0.92%"
"22/08/2025","17.4457","17.7206","17.7550","17.4222","","-1.55%"
"21/08/2025","17.7196","17.6656","17.7732","17.6527","","0.29%"
"20/08/2025","17.6686","17.6780","17.7344","17.6416","","-0.05%"
"19/08/2025","17.6780","17.6315","17.7050","17.5757","","0.26%"
"18/08/2025","17.6322","17.6150","17.6760","17.5560","","0.10%"
"15/08/2025","17.6150","17.5922","17.6403","17.5178","","0.13%"
"14/08/2025","17.5930","17.5285","17.6829","17.4773","","0.39%"
"13/08/2025","17.5240","17.5936","17.6188","17.4700","","-0.40%"
"12/08/2025","17.5937","17.7540","17.7767","17.5388","","-0.88%"
"11/08/2025","17.7492","17.7194","17.7991","17.6991","","-0.04%"
